German;English;Score;SucceedSession;Succeed;TrySession
keine Ahnung;no idea;1;TRUE;FALSE;TRUE
kennen;to know;5;FALSE;TRUE;FALSE
klar;clear;5;FALSE;TRUE;FALSE
klein;little;5;FALSE;TRUE;FALSE
knipsen;to push;3;FALSE;FALSE;FALSE
kommen;to come;5;FALSE;TRUE;FALSE
korrigieren;to correct;1;TRUE;FALSE;TRUE
kosten;to cost;3;TRUE;FALSE;TRUE
kurz;short;5;FALSE;TRUE;FALSE
lang;long;5;FALSE;TRUE;FALSE
langsam;slow;5;FALSE;TRUE;FALSE
laufen;to walk;5;TRUE;TRUE;TRUE
laut;loud;-2;FALSE;FALSE;FALSE
lecker;delicious;5;FALSE;TRUE;FALSE
ledig;single;5;FALSE;TRUE;FALSE
leer;empty;5;FALSE;TRUE;FALSE
legen;to place;0;FALSE;FALSE;FALSE
leicht;light;5;FALSE;TRUE;FALSE
leider;unfortunately;5;FALSE;TRUE;FALSE
leihen;to borrow;0;FALSE;FALSE;FALSE
leise;discrete;-1;FALSE;FALSE;FALSE
lernen;to learn;5;FALSE;TRUE;FALSE
lesen;to read;5;FALSE;TRUE;FALSE
letzte;last;1;FALSE;FALSE;FALSE
lieben;to love;3;FALSE;FALSE;FALSE
liebste;favorite;-1;FALSE;FALSE;FALSE
lügen;to lie;-2;TRUE;FALSE;TRUE
lustig;funny;4;TRUE;FALSE;TRUE
mag;like;5;FALSE;TRUE;FALSE
Mai;May;1;FALSE;FALSE;FALSE
manchmal;sometimes;0;TRUE;FALSE;TRUE
März;March;-1;FALSE;FALSE;FALSE
mehrere;several;5;FALSE;TRUE;FALSE
meinen;to mean;0;FALSE;FALSE;FALSE
meiste;most;0;FALSE;FALSE;FALSE
messen;to measure;0;FALSE;FALSE;FALSE
mitnehmen;to take along;-1;FALSE;FALSE;FALSE
mitteilen;to inform;0;FALSE;FALSE;FALSE
Mittwoch;Wednesday;5;FALSE;TRUE;FALSE
modern;modern;1;FALSE;FALSE;FALSE
Montag;Monday;5;FALSE;TRUE;FALSE
müde;tired;5;FALSE;TRUE;FALSE
nahe;near;0;TRUE;FALSE;TRUE
nähen;to sew;-1;FALSE;FALSE;FALSE
neben;nearby;1;FALSE;FALSE;FALSE
nehmen;to take;0;TRUE;FALSE;TRUE
nein;no;5;FALSE;TRUE;FALSE
neu;new;4;TRUE;FALSE;TRUE
noch;again;3;FALSE;FALSE;FALSE
normal;normal;5;FALSE;TRUE;FALSE
November;November;1;FALSE;FALSE;FALSE
Nun!;Well!;0;TRUE;FALSE;TRUE
ob;whether;0;FALSE;FALSE;FALSE
oben;above;0;FALSE;FALSE;FALSE
oft;often;2;TRUE;FALSE;TRUE
Oktober;October;1;FALSE;FALSE;FALSE
orange;orange;5;FALSE;TRUE;FALSE
passen;to go well;2;TRUE;FALSE;TRUE
passieren;to happen;0;FALSE;FALSE;FALSE
perfekt;perfect;3;FALSE;FALSE;FALSE
pikant;spicy;5;FALSE;TRUE;FALSE
praktisch;practical;0;TRUE;FALSE;TRUE
prima;fine;5;TRUE;TRUE;TRUE
rauchen;to smoke;-2;FALSE;FALSE;TRUE
reichen;to be sufficient;-5;FALSE;FALSE;FALSE
reisen;to travel;0;FALSE;FALSE;FALSE
reissen;to tear;-1;FALSE;FALSE;FALSE
rennen;to run;5;FALSE;TRUE;FALSE
reservieren;to reserve;2;FALSE;FALSE;FALSE
richtig;correct;5;FALSE;TRUE;FALSE
riesig;huge;0;FALSE;FALSE;FALSE
rosa;pink;1;FALSE;FALSE;FALSE
rot;red;5;FALSE;TRUE;FALSE
ruhig;quiet;2;TRUE;FALSE;TRUE
rund;round;5;FALSE;TRUE;FALSE
sagen;to say;5;FALSE;TRUE;FALSE
Samstag;Saturday;4;FALSE;FALSE;FALSE
sauber;clean;5;TRUE;TRUE;TRUE
schade;too bad;4;FALSE;FALSE;FALSE
scheinbar;seemingly;-1;FALSE;FALSE;FALSE
schlafen;to sleep;5;FALSE;TRUE;FALSE
schlecht;bad;-1;FALSE;FALSE;FALSE
schmecken;to taste;0;FALSE;FALSE;FALSE
schmutzig;dirty;-5;FALSE;FALSE;FALSE
schnell;fast;5;FALSE;TRUE;FALSE
schon;already;4;FALSE;FALSE;FALSE
schön;nice;3;FALSE;FALSE;TRUE
schreiben;to write;1;TRUE;FALSE;TRUE
schwach;weak;-6;TRUE;FALSE;TRUE
schwarz;black;5;FALSE;TRUE;FALSE
schwer;hard;-3;TRUE;FALSE;TRUE
schwierig;difficult;-4;FALSE;FALSE;TRUE
schwimmen;to swim;5;FALSE;TRUE;FALSE
schwul;gay lovers;5;TRUE;TRUE;TRUE
schwül;humide;4;TRUE;FALSE;TRUE
sehen;to see;5;FALSE;TRUE;FALSE
sein;to be;5;FALSE;TRUE;FALSE
seltsam;strange;-1;FALSE;FALSE;FALSE
September;September;2;TRUE;FALSE;TRUE
sitzen;to sit;0;FALSE;FALSE;FALSE
sofort;immediately;-1;FALSE;FALSE;TRUE
Sonntag;Sunday;5;FALSE;TRUE;FALSE
sonst;otherwise;-1;FALSE;FALSE;FALSE
sortieren;to sort;3;TRUE;FALSE;TRUE
spät;late;-1;FALSE;FALSE;FALSE
spielen;to play;5;FALSE;TRUE;FALSE
sprechen;to speak;5;FALSE;TRUE;FALSE
stark;strong;5;FALSE;TRUE;FALSE
stehen;to stand up;5;FALSE;TRUE;FALSE
stellen;to put;0;TRUE;FALSE;TRUE
stornieren;to cancel;0;FALSE;FALSE;FALSE
studieren;to study;5;FALSE;TRUE;FALSE
suchen;to search;1;FALSE;FALSE;FALSE
süss;sweet;5;FALSE;TRUE;FALSE
tausend;thousand;5;FALSE;TRUE;FALSE
teilen;to share;0;FALSE;FALSE;FALSE
telefonieren;to phone;4;FALSE;FALSE;FALSE
teuer;expensive;5;FALSE;TRUE;FALSE
tief;deep;-2;FALSE;FALSE;FALSE
toll;formidable;5;FALSE;TRUE;FALSE
tragen;to wear;5;FALSE;TRUE;FALSE
traurig;sad;-1;FALSE;FALSE;FALSE
treffen;to meet;-2;FALSE;FALSE;FALSE
trinken;to drink;5;FALSE;TRUE;FALSE
tschüss;bye;5;FALSE;TRUE;FALSE
überall;everywhere;5;FALSE;TRUE;FALSE
umkämpfen;to beat;1;FALSE;FALSE;TRUE
und;and;5;FALSE;TRUE;FALSE
unpraktisch;impractical;-1;FALSE;FALSE;FALSE
unsere;our;2;FALSE;FALSE;FALSE
unten;below;0;FALSE;FALSE;FALSE
unterrichten;to teach;2;FALSE;FALSE;FALSE
unterwegs;on the road;0;FALSE;FALSE;FALSE
vegetarier;vegetarian;5;FALSE;TRUE;FALSE
verbrauchen;to consume;0;FALSE;FALSE;FALSE
verdammt;damn;-1;FALSE;FALSE;TRUE
verdienen;to earn;-1;FALSE;FALSE;FALSE
vergessen;to forget;0;FALSE;FALSE;FALSE
verheiratet;married;5;FALSE;TRUE;FALSE
verlobt;engaged;-1;TRUE;FALSE;TRUE
verrückt;mad;-1;FALSE;FALSE;FALSE
verstehen;to understand;4;TRUE;FALSE;TRUE
verwenden;to use;-2;FALSE;FALSE;TRUE
verzeihen;to forgive;-1;FALSE;FALSE;FALSE
viel;a lot;2;TRUE;FALSE;TRUE
vielleicht;maybe;5;FALSE;TRUE;FALSE
von oben;from above;-1;FALSE;FALSE;FALSE
warm;warm;5;FALSE;TRUE;FALSE
warum;why;5;FALSE;TRUE;FALSE
Was machst du beruflich?;What is your work?;5;FALSE;TRUE;FALSE
waschen;to wash;5;FALSE;TRUE;FALSE
wegbringen;to bring away;-1;FALSE;FALSE;FALSE
wegen;because of;-1;FALSE;FALSE;TRUE
weil;because;5;FALSE;TRUE;FALSE
weiss;white;5;FALSE;TRUE;FALSE
weit;far;-4;TRUE;FALSE;TRUE
weiter so;keep it up;-2;FALSE;FALSE;TRUE
weiterführen;to pursue;0;FALSE;FALSE;FALSE
welche;which;3;FALSE;FALSE;FALSE
wem;who;0;FALSE;FALSE;FALSE
weniger;fewer;-1;FALSE;FALSE;FALSE
werfen;to throw;0;FALSE;FALSE;FALSE
wichtig;important;1;TRUE;FALSE;TRUE
wie geht es dir?;how are you?;5;FALSE;TRUE;FALSE
wieder;another time;-5;FALSE;FALSE;FALSE
wild;wild;1;FALSE;FALSE;FALSE
wilkommen;welcome;5;FALSE;TRUE;FALSE
wirklich;really;5;FALSE;TRUE;FALSE
wissen;to realize;1;FALSE;FALSE;FALSE
wo;where;5;FALSE;TRUE;FALSE
wohnen;to live;3;FALSE;FALSE;FALSE
zeigen;to show;1;FALSE;FALSE;FALSE
zögern;to hesitate;-2;FALSE;FALSE;FALSE
zu Hause;at home;-2;FALSE;FALSE;TRUE
zurück;back;-1;FALSE;FALSE;FALSE
zurzeit;for now;3;FALSE;FALSE;FALSE
zusammen;together;5;FALSE;TRUE;FALSE
zweite;second;5;FALSE;TRUE;FALSE
zwischen;between;-1;FALSE;FALSE;FALSE
